id, username, timestamp, accesstype, ipaddress, affecteduser, 
6, tmopinga, 2013-03-25 11:19:43, change password, 127.0.0.1, tmopinga, 
7, tmopinga, 2013-03-25 11:20:43, change email, 127.0.0.1, tmopinga, 
8, tmopinga, 2013-03-25 11:21:24, change password, 127.0.0.1, tmopinga, 
9, ljbtirazona, 2013-03-25 11:22:00, change password, 127.0.0.1, ljbtirazona, 
10, ljbtirazona, 2013-03-25 11:23:07, change password, 127.0.0.1, ljbtirazona, 
11, ljbtirazona, 2013-03-25 11:23:55, change password, 127.0.0.1, ljbtirazona, 
12, ljbtirazona, 2013-03-25 11:24:27, change password, 127.0.0.1, ljbtirazona, 
13, ljbtirazona, 2013-03-25 11:25:04, change password, 127.0.0.1, ljbtirazona, 
14, kepbautista, 2013-03-25 11:29:50, edit profile, 127.0.0.1, adfabalus, 
16, kepbautista, 2013-03-25 11:33:53, delete role, 127.0.0.1, ljbtirazona, 
18, kepbautista, 2013-03-25 11:35:49, delete role, 127.0.0.1, ljbtirazona, 
19, kepbautista, 2013-03-25 11:36:20, add role, 127.0.0.1, ljbtirazona, 
20, kepbautista, 2013-03-25 13:36:24, change password, 127.0.0.1, kepbautista, 
21, ljbtirazona, 2013-03-26 12:17:20, add role, 127.0.0.1, imaduka, 
22, tmopinga, 2013-03-26 14:32:34, change email, 127.0.0.1, tmopinga, 
23, tmopinga, 2013-03-26 14:39:13, change password, 127.0.0.1, tmopinga, 
24, ljbtirazona, 2013-03-26 23:56:00, insert, 127.0.0.1, aopinga, 
25, ljbtirazona, 2013-03-26 23:57:16, delete, 127.0.0.1, amopinga, 
26, ljbtirazona, 2013-03-26 23:57:23, delete, 127.0.0.1, bmopinga, 
27, ljbtirazona, 2013-03-26 23:57:34, delete, 127.0.0.1, aopinga, 
28, tmopinga, 2013-03-27 01:09:14, change password, 127.0.0.1, tmopinga, 
29, tmopinga, 2013-03-27 01:14:33, change password, 127.0.0.1, tmopinga, 
30, tmopinga, 2013-03-27 01:15:41, change password, 127.0.0.1, tmopinga, 
31, tmopinga, 2013-03-27 01:19:01, change password, 127.0.0.1, tmopinga, 
32, tmopinga, 2013-03-27 01:23:59, change password, 127.0.0.1, tmopinga, 
33, tmopinga, 2013-03-27 01:27:11, change password, 127.0.0.1, tmopinga, 
34, ljbtirazona, 2013-03-27 01:32:08, delete role, 127.0.0.1, lmflorece, 
35, ljbtirazona, 2013-03-27 01:32:22, delete role, 127.0.0.1, mccdignacio, 
36, tmopinga, 2013-03-27 01:33:41, change password, 127.0.0.1, tmopinga, 
37, ljbtirazona, 2013-03-27 01:56:17, change password, 127.0.0.1, tmopinga, 
38, ljbtirazona, 2013-03-27 02:03:06, insert, 127.0.0.1, aopinga, 
39, ljbtirazona, 2013-03-27 02:04:56, delete, 127.0.0.1, aopinga, 
40, ljbtirazona, 2013-03-27 02:05:18, insert, 127.0.0.1, aopinga, 
41, ljbtirazona, 2013-03-27 02:16:33, change password, 127.0.0.1, rrdvcustodio, 
42, ljbtirazona, 2013-03-27 02:17:12, change password, 127.0.0.1, rrdvcustodio, 
43, ljbtirazona, 2013-03-27 10:02:45, edit profile, 127.0.0.1, tadsperez, 
44, ljbtirazona, 2013-03-27 10:03:15, change password, 127.0.0.1, tadsperez, 
45, ljbtirazona, 2013-03-27 10:08:27, edit profile, 127.0.0.1, tadsperez, 
46, ljbtirazona, 2013-03-27 10:09:05, change password, 127.0.0.1, tadsperez, 
47, ljbtirazona, 2013-03-27 10:12:09, delete, 127.0.0.1, cmopinga, 
48, ljbtirazona, 2013-03-27 10:12:18, delete, 127.0.0.1, dmopinga, 
49, ljbtirazona, 2013-03-27 10:14:44, delete, 127.0.0.1, cmopinga, 
50, ljbtirazona, 2013-03-27 10:14:49, delete, 127.0.0.1, dmopinga, 
51, ljbtirazona, 2013-03-27 10:15:42, delete, 127.0.0.1, cmopinga, 
52, ljbtirazona, 2013-03-27 10:15:49, delete, 127.0.0.1, dmopinga, 
53, ljbtirazona, 2013-03-29 10:54:16, delete, 127.0.0.1, bmopinga, 
54, ljbtirazona, 2013-03-29 10:54:22, delete, 127.0.0.1, amopinga, 
55, ljbtirazona, 2013-03-29 11:12:02, delete, 127.0.0.1, bmopinga, 
56, ljbtirazona, 2013-03-29 11:12:07, delete, 127.0.0.1, amopinga, 
57, ljbtirazona, 2013-03-29 11:54:55, delete, 127.0.0.1, dmopinga, 
58, ljbtirazona, 2013-03-29 11:55:00, delete, 127.0.0.1, cmopinga, 
59, ljbtirazona, 2013-03-29 11:58:22, delete, 127.0.0.1, cmopinga, 
60, ljbtirazona, 2013-03-29 11:58:38, delete, 127.0.0.1, dmopinga, 
61, ljbtirazona, 2013-03-29 12:09:21, delete, 127.0.0.1, dmopinga, 
62, ljbtirazona, 2013-03-29 12:09:25, delete, 127.0.0.1, cmopinga, 
63, ljbtirazona, 2013-03-29 12:12:45, delete, 127.0.0.1, dmopinga, 
64, ljbtirazona, 2013-03-29 12:12:51, delete, 127.0.0.1, cmopinga, 
65, ljbtirazona, 2013-03-29 12:14:18, delete, 127.0.0.1, cmopinga, 
66, ljbtirazona, 2013-03-29 13:18:02, delete, 127.0.0.1, amopinga, 
67, ljbtirazona, 2013-03-29 13:18:26, delete, 127.0.0.1, bmopinga, 
68, ljbtirazona, 2013-03-29 13:21:17, delete, 127.0.0.1, amopinga, 
69, ljbtirazona, 2013-03-29 13:22:34, delete, 127.0.0.1, dmopinga, 
70, ljbtirazona, 2013-03-29 13:22:39, delete, 127.0.0.1, cmopinga, 
71, ljbtirazona, 2013-03-29 13:22:56, delete, 127.0.0.1, bmopinga, 
72, ljbtirazona, 2013-03-29 13:33:22, delete, 127.0.0.1, cmopinga, 
73, ljbtirazona, 2013-03-29 13:33:27, delete, 127.0.0.1, dmopinga, 
74, ljbtirazona, 2013-03-29 13:37:00, delete, 127.0.0.1, dmopinga, 
75, ljbtirazona, 2013-03-29 13:37:17, delete, 127.0.0.1, cmopinga, 
76, ljbtirazona, 2013-03-29 13:39:50, delete, 127.0.0.1, cmopinga, 
77, ljbtirazona, 2013-03-29 13:39:55, delete, 127.0.0.1, dmopinga, 
78, ljbtirazona, 2013-03-29 13:53:30, delete, 127.0.0.1, bmopinga, 
79, ljbtirazona, 2013-03-29 13:53:37, delete, 127.0.0.1, amopinga, 
80, ljbtirazona, 2013-03-29 13:55:36, delete, 127.0.0.1, bmopinga, 
81, ljbtirazona, 2013-03-29 13:55:40, delete, 127.0.0.1, amopinga, 
82, ljbtirazona, 2013-03-29 14:00:58, delete, 127.0.0.1, dmopinga, 
83, ljbtirazona, 2013-03-29 14:01:11, delete, 127.0.0.1, cmopinga, 
84, tmopinga, 2013-03-29 15:38:18, change password, 127.0.0.1, tmopinga, 
85, tmopinga, 2013-03-29 15:39:28, change password, 127.0.0.1, tmopinga, 
86, ljbtirazona, 2013-03-29 16:15:14, delete, 127.0.0.1, aopinga, 
87, ljbtirazona, 2013-03-29 16:15:33, insert, 127.0.0.1, aopinga, 
88, ljbtirazona, 2013-03-29 16:16:34, delete, 127.0.0.1, aopinga, 
89, ljbtirazona, 2013-03-29 16:16:49, insert, 127.0.0.1, aopinga, 
90, ljbtirazona, 2013-03-29 16:17:08, delete, 127.0.0.1, aopinga, 
91, ljbtirazona, 2013-03-29 16:17:20, insert, 127.0.0.1, aopinga, 
92, ljbtirazona, 2013-03-29 16:17:35, delete, 127.0.0.1, aopinga, 
93, ljbtirazona, 2013-03-29 16:19:42, edit profile, 127.0.0.1, bmopinga, 
94, ljbtirazona, 2013-03-29 16:19:47, delete, 127.0.0.1, bmopinga, 
95, ljbtirazona, 2013-03-29 16:20:08, edit profile, 127.0.0.1, amopinga, 
96, ljbtirazona, 2013-03-29 16:20:13, delete, 127.0.0.1, amopinga, 
97, ljbtirazona, 2013-03-29 16:21:19, insert, 127.0.0.1, aopinga, 
98, ljbtirazona, 2013-03-29 16:21:34, delete, 127.0.0.1, aopinga, 
99, ljbtirazona, 2013-03-29 16:21:57, insert, 127.0.0.1, aopinga, 
100, ljbtirazona, 2013-03-29 16:25:40, edit profile, 127.0.0.1, aopinga, 
101, ljbtirazona, 2013-03-29 16:27:19, edit profile, 127.0.0.1, aopinga, 
102, ljbtirazona, 2013-03-30 08:20:43, insert, 127.0.0.1, aopinga, 
103, ljbtirazona, 2013-03-30 08:32:23, delete, 127.0.0.1, aopinga, 
104, ljbtirazona, 2013-03-31 16:32:21, add degree program, 127.0.0.1, test, 
105, ljbtirazona, 2013-03-31 16:56:35, add degree program, 127.0.0.1, test, 
106, ljbtirazona, 2013-03-31 16:59:17, add degree program, 127.0.0.1, test, 
107, ljbtirazona, 2013-03-31 17:00:17, add degree program, 127.0.0.1, test, 
108, ljbtirazona, 2013-03-31 17:00:39, delete degree program, 127.0.0.1, test, 
109, ljbtirazona, 2013-03-31 17:44:11, change email, 127.0.0.1, ljbtirazona, 
110, ljbtirazona, 2013-03-31 17:44:12, change email, 127.0.0.1, ljbtirazona, 
111, ljbtirazona, 2013-03-31 17:44:25, change email, 127.0.0.1, ljbtirazona, 
112, ljbtirazona, 2013-03-31 19:20:20, insert, 127.0.0.1, aopinga, 
113, ljbtirazona, 2013-03-31 19:20:45, delete, 127.0.0.1, aopinga, 
120, tmopinga, 2013-04-01 02:09:18, change email, 127.0.0.1, tmopinga, 
121, tmopinga, 2013-04-01 02:09:45, change email, 127.0.0.1, tmopinga, 
122, tmopinga, 2013-04-01 02:20:15, change email, 127.0.0.1, tmopinga, 
123, tmopinga, 2013-04-01 02:20:29, change email, 127.0.0.1, tmopinga, 
124, tmopinga, 2013-04-01 02:27:25, change password, 127.0.0.1, tmopinga, 
125, ljbtirazona, 2013-04-01 02:30:56, edit profile, 127.0.0.1, tmopinga, 
126, ljbtirazona, 2013-04-01 02:32:44, edit profile, 127.0.0.1, tmopinga, 
127, ljbtirazona, 2013-04-01 02:33:11, edit profile, 127.0.0.1, tmopinga, 
128, ljbtirazona, 2013-04-01 02:42:53, add role, 127.0.0.1, mgcarandang, 
129, ljbtirazona, 2013-04-01 02:43:28, change password, 127.0.0.1, mgcarandang, 
130, mgcarandang, 2013-04-01 02:51:52, delete, 127.0.0.1, amopinga, 
131, mgcarandang, 2013-04-01 02:53:42, delete, 127.0.0.1, amopinga, 
132, ljbtirazona, 2013-04-01 02:56:38, delete, 127.0.0.1, bmopinga, 
133, ljbtirazona, 2013-04-01 02:56:43, delete, 127.0.0.1, amopinga, 
134, ljbtirazona, 2013-04-01 02:59:04, delete, 127.0.0.1, amopinga, 
135, ljbtirazona, 2013-04-01 03:02:13, delete, 127.0.0.1, amopinga, 
136, ljbtirazona, 2013-04-01 03:04:06, delete, 127.0.0.1, bmopinga, 
137, ljbtirazona, 2013-04-01 03:04:11, delete, 127.0.0.1, amopinga, 
138, ljbtirazona, 2013-04-01 03:05:46, delete, 127.0.0.1, amopinga, 
139, ljbtirazona, 2013-04-01 03:06:01, delete, 127.0.0.1, bmopinga, 
140, ljbtirazona, 2013-04-01 03:10:04, delete, 127.0.0.1, bmopinga, 
141, ljbtirazona, 2013-04-01 03:10:38, delete, 127.0.0.1, amopinga, 
142, ljbtirazona, 2013-04-01 03:11:34, delete, 127.0.0.1, amopinga, 
143, ljbtirazona, 2013-04-01 03:11:39, delete, 127.0.0.1, bmopinga, 
144, ljbtirazona, 2013-04-01 03:29:12, delete, 127.0.0.1, bmopinga, 
145, ljbtirazona, 2013-04-01 03:29:18, delete, 127.0.0.1, amopinga, 
146, ljbtirazona, 2013-04-01 03:33:34, delete, 127.0.0.1, emopinga, 
147, ljbtirazona, 2013-04-01 03:33:40, delete, 127.0.0.1, dmopinga, 
148, ljbtirazona, 2013-04-01 03:33:45, delete, 127.0.0.1, cmopinga, 
